Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
"Funda Surdo 28""x50cm IVSOM","$81,000.00","$122,310.00","$114,210.00","$172,457.10",,,
Funda Tamborim Acolchonada Contemporánea,"$23,700.00","$35,787.00","$33,417.00","$50,459.67",,,
Funda Tamborim Simple,"$11,700.00","$17,667.00","$16,497.00","$24,910.47",,,
"Furacaixa 12"" Duralumínio 6 cuerdas IVSOM","$87,000.00","$131,370.00","$122,670.00","$185,231.70",,,
Gambito Gope,"$5,400.00","$8,154.00","$7,614.00","$11,497.14",,,
Gorgurão Gope 22cm,"$6,900.00","$10,419.00","$9,729.00","$14,690.79",,,
Hule para cuero por metro IVSOM,"$8,400.00","$12,684.00","$11,844.00","$17,884.44",,,
Llave de afinación Cuica IVSOM,"$10,200.00","$15,402.00","$14,382.00","$21,716.82",,,
Llave de Afinacion de Surdo Manivela,"$22,500.00","$33,975.00","$31,725.00","$47,904.75",,,
Llave de Afinación p tamborim IVSOM,"$7,800.00","$11,778.00","$10,998.00","$16,606.98",,,
Llave de afinación torneada IVSOM,"$20,400.00","$30,804.00","$28,764.00","$43,433.64",,,
Llave de Afinación Tubular pequeña Gope,"$1,800.00","$2,718.00","$2,538.00","$3,832.38",,,
Mazo para surdo 1º y 2º IVSOM,"$5,700.00","$8,607.00","$8,037.00","$12,135.87",,,
Mazo para 1º y 2º Combat,"$10,500.00","$15,855.00","$14,805.00","$22,355.55",,,
Mazo para 1° y 2° Liverpool,"$11,700.00","$17,667.00","$16,497.00","$24,910.47",,,
Mazo para surdo 3º IVSOM,"$5,700.00","$8,607.00","$8,037.00","$12,135.87",,,
Mazo para surdo 3º Combat,"$9,600.00","$14,496.00","$13,536.00","$20,439.36",,,
Paillo Repique Liverpool,"$3,000.00","$4,530.00","$4,230.00","$6,387.30",,,
Palillo Repique Cónico Liverpool,"$3,000.00","$4,530.00","$4,230.00","$6,387.30",,,
"Pandeiro con Cuero 10"" IVSOM","$58,800.00","$88,788.00","$82,908.00","$125,191.08",,,
"Pandeiro con Cuero 11"" IVSOM","$72,600.00","$109,626.00","$102,366.00","$154,572.66",,,
"Pandeiro con Cuero 12"" IVSOM","$84,000.00","$126,840.00","$118,440.00","$178,844.40",,,
"Pandeiro con Cuero 13"" IVSOM","$92,850.00","$140,203.50","$130,918.50","$197,686.94",,,
"Pandeiro con Nylon 11"" IVSOM","$66,900.00","$101,019.00","$94,329.00","$142,436.79",,,
"Pandeiro con Nylon 12"" IVSOM","$77,700.00","$117,327.00","$109,557.00","$165,431.07",,,
"Pandeiro con Nylon 13"" IVSOM","$84,000.00","$126,840.00","$118,440.00","$178,844.40",,,
"Pandeiro con Nyon 10"" IVSOM","$53,700.00","$81,087.00","$75,717.00","$114,332.67",,,
Par baquet caixa maçaranduba IVSOM,"$3,150.00","$4,756.50","$4,441.50","$6,706.67",,,
Par baqueta caixa marfim IVSOM,"$2,550.00","$3,850.50","$3,595.50","$5,429.21",,,
Par baqueta repique maçaranduba IVSOM,"$3,150.00","$4,756.50","$4,441.50","$6,706.67",,,
Par baqueta repique marfim IVSOM,"$2,550.00","$3,850.50","$3,595.50","$5,429.21",,,
Par baqueta repique y agogó maçaranduba artesanal IVSOM,"$3,900.00","$5,889.00","$5,499.00","$8,303.49",,,
"Parche Cuica Cuero Aro Metal 10"" Contemporánea","$47,700.00","$72,027.00","$67,257.00","$101,558.07",,,
"Parche Cuica Cuero Aro Metal 10"" Gope","$26,700.00","$40,317.00","$37,647.00","$56,846.97",,,
"Parche Cuica Cuero Aro Madera 10"" Redençao","$47,700.00","$72,027.00","$67,257.00","$101,558.07",,,
"Parche hidráulico 12"" IVSOM","$26,550.00","$40,090.50","$37,435.50","$56,527.61",,,
"Parche hidráulico 14"" IVSOM","$30,750.00","$46,432.50","$43,357.50","$65,469.83",,,
"Parche mudo 12"" IVSOM","$16,800.00","$25,368.00","$23,688.00","$35,768.88",,,
"Parche mudo 6"" IVSOM","$9,750.00","$14,722.50","$13,747.50","$20,758.73",,,
Parche Mudo Tamborim Gope,"$10,500.00","$15,855.00","$14,805.00","$22,355.55",,,
"Parche Nylon 6"" Gope","$4,800.00","$7,248.00","$6,768.00","$10,219.68",,,
"Parche Nylon 6"" Redençao","$4,800.00","$7,248.00","$6,768.00","$10,219.68",,,
"Parche Nylon 10"" IVSOM","$3,750.00","$5,662.50","$5,287.50","$7,984.13",,,
"Parche Nylon 10"" Gope","$7,200.00","$10,872.00","$10,152.00","$15,329.52",,,
"Parche Nylon 11"" IVSOM","$3,900.00","$5,889.00","$5,499.00","$8,303.49",,,
